file,time,id,a,b
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025037,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025202,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025209,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025210,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025869,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025932,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.097083,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.097778,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.127400,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.127460,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.127473,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.127534,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.128335,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.128375,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.132462,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.132509,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.134141,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.134200,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.135623,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.135669,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.137047,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.137105,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.138743,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.138829,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.140165,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.140213,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.244405,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.244461,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.244517,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.245515,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246346,10011,"6","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246693,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246707,10011,"8","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246708,10011,"7","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246789,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246905,10011,"9","0"
